Question Code,P-value,Cramérs V statistic,Question
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PLACELIV.html"">PLACELIV</a>",3.3e-03,0.0581097733536852,How would you describe the place where you live?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CAREHOME.html"">CAREHOME</a>",2.3e-05,0.057226163200175574,Is there anyone living with you whom you look after?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CARESEP.html"">CARESEP</a>",8.6e-06,0.0565584708097676,Do you provide regular service/help for someone not living with you?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CHATTND2.html"">CHATTND2</a>",2.4e-01,0.055712227751852035,How often do you attend church services/meetings?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/HOUSEHLD.html"">HOUSEHLD</a>",5.7e-02,0.04935597725476641,Number in household
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RMARST2.html"">RMARST2</a>",2.1e-01,0.046158396198704744,Marital/partnership status of respondent
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PEMPST2.html"">PEMPST2</a>",2.7e-03,0.044966575323099924,Is partner in paid employment?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ELSEUK.html"">ELSEUK</a>",1.6e-01,0.04283762847054453,Did you live elsewhere in the United Kingdom?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PECACT.html"">PECACT</a>",6.3e-03,0.04105320814244813,Is partner economically active?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RSEX.html"">RSEX</a>",4.9e-04,0.04080213800937124,Sex of respondent
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RLIVTOG.html"">RLIVTOG</a>",1.4e-01,0.03729960112354452,Is respondent living with someone household as a couple?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ECACT.html"">ECACT</a>",5.9e-03,0.032207979094407216,Is respondent economically active?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/SLFMXSCH.html"">SLFMXSCH</a>",2.8e-02,0.03127932971877804,Did you attend a mixed or integrated school in Northern Ireland?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EMPST2.html"">EMPST2</a>",2.3e-02,0.026675469048217017,Is respondent in paid employment?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/FORMINT.html"">FORMINT</a>",8.2e-01,0.016864227556906888,Did you attend a formally integrated school?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ANYHCOND.html"">ANYHCOND</a>",1.7e-01,0.016033822640908413,Do you have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ANYHCONDA.html"">ANYHCONDA</a>",9.9e-01,0.006010041125484819,Does anyone else in your household have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?
